SampleID,ComponentID,ComponentType,X,Y,Width,Height,Power
0,0,IC,14,9,15,6,4.42
0,1,Capacitor,54,41,16,17,2.81
0,2,Inductor,59,24,13,11,0.64
0,3,Diode,65,51,15,13,3.07
0,4,Capacitor,74,38,7,10,2.72
0,5,Capacitor,37,24,12,12,4.15
0,6,Capacitor,67,52,9,12,0.64
0,7,IC,83,9,10,16,4.54
0,8,Inductor,7,3,15,15,2.95
0,9,Diode,10,74,13,8,2.51
0,10,IC,1,66,20,6,0.31
0,11,Inductor,57,0,5,8,0.72
0,12,Inductor,79,47,9,9,3.94
1,0,Inductor,89,68,6,8,2.41
1,1,Capacitor,24,65,17,10,2.38
1,2,Capacitor,84,83,7,14,2.17
1,3,Capacitor,24,7,16,17,2.08
1,4,Diode,6,9,11,19,2.92
1,5,Diode,16,30,20,19,4.92
1,6,Diode,78,24,15,18,0.27
1,7,Inductor,54,9,13,15,4.8
1,8,Diode,48,74,8,19,4.81
1,9,Resistor,23,67,5,10,2.5
1,10,IC,75,59,11,19,1.48
1,11,IC,1,21,7,7,0.38
1,12,IC,18,37,7,17,3.92
2,0,Capacitor,30,73,14,14,0.73
2,1,Resistor,43,12,8,7,1.17
2,2,Capacitor,65,13,15,13,2.32
2,3,Capacitor,91,5,8,20,3.89
2,4,IC,78,56,17,18,3.86
2,5,Inductor,65,7,16,7,4.45
2,6,Inductor,28,85,20,15,1.26
2,7,Resistor,3,57,16,18,0.35
2,8,Diode,37,21,8,15,0.88
2,9,Resistor,4,2,9,18,3.72
2,10,IC,9,12,6,9,2.78
3,0,Capacitor,50,78,10,6,4.34
3,1,Inductor,31,18,19,13,4.46
3,2,Inductor,49,43,10,18,0.97
3,3,IC,79,58,14,19,2.78
3,4,Diode,30,38,19,10,1.16
3,5,Diode,79,49,12,9,4.25
3,6,IC,17,18,8,14,4.04
4,0,Diode,3,25,14,10,0.46
4,1,Capacitor,27,52,18,6,4.42
4,2,Diode,24,46,18,20,0.82
4,3,Diode,60,50,17,16,3.48
4,4,Capacitor,59,85,13,10,0.17
4,5,Inductor,93,65,5,6,1.41
4,6,Inductor,84,35,9,17,3.56
4,7,Capacitor,79,38,11,13,0.81
4,8,Resistor,35,8,15,13,2.73
4,9,Resistor,81,20,18,11,2.2
4,10,IC,86,35,13,6,1.43
4,11,IC,67,47,17,14,1.67
4,12,IC,18,39,10,16,1.11
4,13,Inductor,10,70,10,19,0.81
5,0,Capacitor,50,85,8,13,1.7
5,1,Capacitor,21,77,9,7,2.93
5,2,Resistor,23,3,7,7,1.85
5,3,IC,49,6,7,8,1.21
5,4,Inductor,81,75,8,18,1.84
5,5,Capacitor,11,78,12,8,2.96
5,6,Capacitor,46,80,9,6,2.78
5,7,Capacitor,51,22,19,6,0.8
5,8,Resistor,24,82,7,9,0.1
5,9,IC,58,65,10,20,4.28
6,0,Diode,73,77,6,14,1.59
6,1,IC,25,66,13,7,2.19
6,2,Inductor,12,7,18,15,2.75
6,3,Capacitor,67,43,10,18,0.76
6,4,Inductor,2,73,18,9,3.96
6,5,Inductor,86,71,5,15,4.39
7,0,Resistor,47,41,15,18,3.68
7,1,IC,66,82,10,13,2.84
7,2,Capacitor,10,73,6,9,1.38
7,3,Diode,46,1,14,6,3.91
7,4,Resistor,77,42,14,18,1.69
7,5,Capacitor,49,60,5,20,1.24
7,6,Capacitor,21,74,20,12,2.66
7,7,Inductor,59,30,7,18,4.99
7,8,Diode,32,29,20,8,0.61
7,9,Capacitor,72,52,18,6,0.28
7,10,Diode,37,51,7,8,2.02
7,11,IC,7,65,15,5,2.05
8,0,Capacitor,27,90,9,7,1.43
8,1,IC,19,66,18,9,4.8
8,2,Diode,76,14,8,6,4.6
8,3,Inductor,13,75,6,12,4.25
